ids	textes	classes
108124	You're a fucking moron   You are a fucking stupid little n00b, GTFO Wikipedia cunt.	1
85961	Just delete my account you faggot!	1
91948	YOU NEED A PUSSY, YOUR GEEK!	1
118814	It's you who is doing original research by sucking dick of allmovie and not giving sources to why IB is an adventure film, Schindler's List was a man on a mission to save the jaws, is it an adventure film cocksucker? 201.68.139.99	1
94637	TESLA is a cult   Tesla is a cult. his stuff is black magic, not science! stop this absurdity now!	1
95847	guess what you incompetent american flabbergassed dodo bird. I think you should do a bit of research. but you still wont find the informatoin i know for my family members are in tarsus clubs you low iq idoit. id say 90 percent are facts shutterd out the the general public. now sorry lonely internet 50 year old. i have to go.ĤħþŻǔȳŨǓ₵₡$m²♥♠♣♣±≤₨¤₳¿†	1
24915	YOU ARE A FAT, GEEKY PRICK WHO HAS NOTHING TO DO ON A WEEKEND BUT MONITOR WIKIPEDIA. I HOPE YOU SUFFOCATE UNDER YOUR OWN SADNESS.	1
14371	Just another white supremacist dog. 'nuff said.  Only a motherfucker shoots prisoners. Res2216firestar has been reverting this for some time. I wonder if his this pig's descendant?	1
130929	oh ouch, moreschi and ryanpostlethwaite (fucking wankerish name, i advise you find a nice boy and change your last name to match his). you might like to consider that it's time you both admit you have fetishes for curry pussy?	1
99047	Btw, I'm a big fan of anal masturbation.	1
19319	ASSHOLE   YOU FUCKING ASSHOLE I HATE YOU YOU SUCK WHY THE FUCK DID YOU EDIT MY PAGE YOU FUCKING FATTY GEEK HOBO LIVING IN YOUR MOMS HOUSE YOU LAZY WHORE. I JUST WANT TO HAVE FUN YOU STUPID SHIT WHAT IS WRONG WITH YOU	1
140242	hey ur a douch bag dont edit my stuff	1
58978	Simply put, neither the song nor the penis are notable enough.   | (talk)	1
106023	Bitch please fuck off	1
115396	BLOCK ME you fucking dicksukers.	1
95155	wiki shold dye!they should be ashame!j	1
100272	Fuck you, old geezer    Fuck you, you old senile geezer	1
106767	"""  I'm sorry, but The Fuck-Ups were a racist Punk band. Their EP (FU82) only featured a few tracks, one of which """"White Boy"""" was a racist song. It doesn't matter if people try to sugar coat that bands history or not, lyrics like """"White boy can't you see you're a minority? White boy shoot and White boy kill"""" can't be defended. They will remain on the list.    NPOV  """	1
144119	er no he's  6 ft 4 ACTUALLY so get bent.if he was 6 ft 2 kurt angle and people would have to be fucking midgets! but if u wanna get arsey on wrestlers sizes BATISTA ISNT, 320 lbs or some bullshit like that he's 300 so neh!! ive seen them in person,u probably havent, end of.	1
65946	YEAR OLD EDITOR WHO PROBABLY SH.TS HIS PANTS. WHAT'S HIS NAME AGAIN? OH YEAH, IT'S SUPER HAMSTER. OH MY GOD, SUPER HAMSTERBold text''' IS GONNA SAVE THE F**in WORLD! GIMME A BREAK, STUPID WIKIPEDIANS, GO GET A LIFE AND F**k YOURSELF! WILLY ON WHEELS BABY!!!!!!'''	1
71928	At least fix   At least fix the title for Christ's sake. The Brand Extension title makes no sense when you talk about events after that. And I beg you to watch the product. While the PG/Universe Era was never said onscreen, the Ruthless Aggression Era and Reality Era have and are clearly real. One day you will see a documentary on the Network and I guarantee they will be listed as such. Watch Stone Cold's podcast with Triple H from last Monday, there's at least one confirmation for your ignorant narrow headed mind.	1
20714	You can't warnings you moron! Now leave the page alone you fool.	1
71693	Nobody likes you JEff. You look like a pedaphile.	1
157073	Firstly, he called me a hypocrite. And secondly, I said that Muhammad was not at all violent or vindictive or insane.	1
71551	stupid sit i will behead you	1
51115	User:abd is Muslim Scum	1
109351	April 2007 (UTC)  Well I'm glad you don't take yourself too seriously, you pendantic twat.   00:37, 23	1
61074	"""  this is stupid. i defent the actions of User:Cerejota in Talk:Digg and then User:Krimpet threatens to ban me. i then post in Talk:Digg that the cost of defending User:Cerejota is banning and then User:Leki and User:Android Mouse threaten to ban me, too. User:Android Mouse also reverts my changes. so i harass them back. was there a more proper warning i should have made against User:Leki? probably, but i don't know what it is.  but then  in general"""". WP:AGF!!! i don't see how i was ever uncivil. the one example User:Krimpet provides is bogus. that was intended as a joke and if you can't take it as a joke, that's your problem. it certainly isn't worthy of a ban.  i'd post this on your talk page, User:Krimpet, but because of the ban, i can only post on mine. so i hope you read my talk page and apologize. apologize and make User:Leki and User:Android Mouse do the same. either that or you should step down because you are clearly a disgrace to wikipedia.  oh, sry. my saying you're a disgrace to wikipedia violates WP:CIVIL, doesn't it? maybe you should have thought of that before you violated WP:CIVIL, yourself, and threatened to ban me. and perhaps User:Leki and User:Android Mouse should have thought of that, too. you can't expect civility when the people you're engaging in friendly debate with try to subvert your arguments by banning you or deleting them, all together. that i've been civil up to know is pretty amazing and i should be commended for it - not banned for it."""	1
